İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
59,27 Ocak 2022 ,Satılık ,125,21 Ve Üzeri ,14,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,13 Ağustos 2021 ,Konut ,120,3+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,3400000,İstanbul , Bakırköy , Osmaniye Mahallesi ,Avrupa Yakası,0.613,228.759
55,19 Ocak 2022 ,Satılık ,200,0 (Yeni) ,4,Boş ,Bilinmiyor ,Yok,3 ,07 Ağustos 2021 ,Konut ,180,4+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,3490000,İstanbul , Bakırköy , Ataköy 2,Avrupa Yakası,0.613,228.759
47,09 Aralık 2021 ,Satılık ,133,1 ,20,Boş ,Bilinmiyor ,Yok,2 ,05 Ağustos 2021 ,Konut ,98,2+1 ,13. Kat ,Yerden Isıtma ,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,10500000,İstanbul , Bakırköy , Zuhuratbaba Mahallesi ,Avrupa Yakası,0.613,228.759
46,27 Ocak 2022 ,Satılık ,75,2 ,5,Boş ,Bilinmiyor ,Yok,1 ,05 Ağustos 2021 ,Konut ,65,2+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,985000,İstanbul , Bakırköy , Yeşilköy Mahallesi ,Avrupa Yakası,0.613,228.759
43,25 Ağustos 2021 ,Satılık ,317,4 ,19,Boş ,Bilinmiyor ,Yok,3 ,29 Temmuz 2021 ,Konut ,270,5+1 ,1. Kat ,Yerden Isıtma ,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,14250000,İstanbul , Bakırköy , Yeşilköy Mahallesi ,Avrupa Yakası,0.613,228.759
41,28 Aralık 2021 ,Satılık ,85,21 Ve Üzeri ,3,Kiracı Oturuyor ,Bilinmiyor ,Yok,1 ,26 Temmuz 2021 ,Konut ,80,1+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1300000,İstanbul , Bakırköy , Şenlikköy Mahallesi ,Avrupa Yakası,0.613,228.759
40,07 Şubat 2022 ,Satılık ,492,21 Ve Üzeri ,4,Boş ,Bilinmiyor ,Yok,Yok ,26 Temmuz 2021 ,Konut ,491,8+ Oda ,Düz Giriş ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,15500000,İstanbul , Bakırköy , Sakızağacı Mahallesi ,Avrupa Yakası,0.613,228.759
39,28 Aralık 2021 ,Satılık ,200,21 Ve Üzeri ,3,Boş ,Bilinmiyor ,Yok,2 ,24 Temmuz 2021 ,Konut ,190,3+1 ,3. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,5950000,İstanbul , Bakırköy , Yeşilköy Mahallesi ,Avrupa Yakası,0.613,228.759
38,10 Ocak 2022 ,Satılık ,350,0 (Yeni) ,4,Boş ,Bilinmiyor ,Yok,4 ,23 Temmuz 2021 ,Konut ,330,5+2 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,14500000,İstanbul , Bakırköy , Zeytinlik Mahallesi ,Avrupa Yakası,0.613,228.759
37,18 Aralık 2021 ,Satılık ,135,21 Ve Üzeri ,4,Boş ,Bilinmiyor ,Yok,1 ,22 Temmuz 2021 ,Konut ,120,3+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1500000,İstanbul , Bakırköy , Yeşilyurt Mahallesi ,Avrupa Yakası,0.613,228.759
35,11 Ocak 2022 ,Satılık ,160,21 Ve Üzeri ,4,Kiracı Oturuyor ,Bilinmiyor ,Yok,2 ,22 Temmuz 2021 ,Konut ,145,2+1 ,1. Kat ,Doğalgaz,Krediye Uygun Değil ,Hayır,Var,Genel Fiyat ,3500000,İstanbul , Bakırköy , Yeşilyurt Mahallesi ,Avrupa Yakası,0.613,228.759
36,17 Ocak 2022 ,Satılık ,130,21 Ve Üzeri ,5,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,22 Temmuz 2021 ,Konut ,120,3+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,2750000,İstanbul , Bakırköy , Sakızağacı Mahallesi ,Avrupa Yakası,0.613,228.759
23,23 Ekim 2021 ,Satılık ,160,0 (Yeni) ,4,Boş ,Bilinmiyor ,Yok,2 ,16 Temmuz 2021 ,Konut ,145,4+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1850000,İstanbul , Bakırköy , Zeytinlik Mahallesi ,Avrupa Yakası,0.613,228.759
22,04 Aralık 2021 ,Satılık ,160,21 Ve Üzeri ,4,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,16 Temmuz 2021 ,Konut ,150,3+1 ,4. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,2000000,İstanbul , Bakırköy , Zuhuratbaba Mahallesi ,Avrupa Yakası,0.613,228.759
